ts_code,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,price_1_150,price_1_200,price_150_200,price_50_150,price_50_200,price_max_25,price_min_25,score
300419.SZ,浩丰科技,软件服务,20221202,5.66,5.5433,5.5,5.592,5.7267,5.766,5.777,5.613,5.5928,5.6256,5.5924,5.508,5.4095,5.7012,1,0,0,1,0,0,1,3
600838.SH,上海九百,百货,20221202,6.89,6.9,6.748,6.496,6.44,6.387,6.235,6.253,6.3347,6.3676,6.4156,6.5491,6.8946,6.8797,0,1,1,0,0,0,1,3
600223.SH,鲁商发展,区域地产,20221202,10.69,10.5667,10.51,10.789,10.1547,9.4875,8.6393,8.3298,8.4803,8.6094,8.7002,8.8069,8.7562,9.2446,1,1,0,0,0,0,1,3
300404.SZ,博济医药,医疗保健,20221202,8.41,8.4233,8.462,8.567,8.746,8.685,8.383,7.9894,8.0308,8.036,8.0537,8.1418,8.1464,8.2831,1,1,0,0,0,1,0,3
300578.SZ,会畅通讯,通信设备,20221202,17.78,16.2867,15.888,16.057,16.3653,16.331,16.1377,15.4458,15.6257,15.9023,16.0488,16.0995,15.9777,17.3213,1,1,0,0,0,0,1,3
605089.SH,味知香,食品,20221202,62.43,61.36,60.632,59.346,59.0893,58.0775,55.5777,53.7398,54.0967,54.696,55.296,57.1584,57.2797,58.4968,1,1,0,0,0,0,1,3
600820.SH,隧道股份,建筑工程,20221202,5.44,5.46,5.492,5.481,5.448,5.4215,5.3343,5.2416,5.3103,5.3632,5.3769,5.4749,5.5021,5.4353,0,1,1,0,0,1,0,3
300577.SZ,开润股份,纺织,20221202,16.3,15.9,15.646,15.722,15.892,15.8765,15.4303,15.0488,14.8985,14.6719,14.5527,14.8918,15.0047,15.2591,1,1,0,1,0,0,0,3
300423.SZ,昇辉科技,电气设备,20221202,10.41,10.2667,10.102,10.036,10.06,10.007,9.9037,9.6826,9.8138,10.1549,10.3227,10.3933,10.1829,10.3809,1,1,0,0,0,0,1,3
300609.SZ,汇纳科技,互联网,20221202,16.86,16.3167,16.116,16.121,16.3053,16.0475,15.4387,14.5338,14.5262,14.5087,14.4787,14.4253,14.5701,15.5877,1,1,0,0,0,0,1,3
