,ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,perf_summary
0,000001.SZ,20220114,20211231,169383000000.0,45985000000.0,45879000000.0,36336000000.0,4921380000000.0,395448000000.0,1.73,10.85,28928000000.0,,
1,000001.SZ,20220114,20211231,169383000000.0,45985000000.0,45879000000.0,36336000000.0,4921380000000.0,325504000000.0,1.73,10.85,28928000000.0,,
2,000001.SZ,20220114,20211231,169383000000.0,45985000000.0,45879000000.0,36336000000.0,4921380000000.0,395448000000.0,1.73,10.85,28928000000.0,,
3,000001.SZ,20200114,20191231,137958000000.0,36289000000.0,36240000000.0,28195000000.0,3939070000000.0,273035000000.0,1.54,11.3,24818000000.0,,
4,000001.SZ,20190104,20181231,116716000000.0,32305000000.0,32231000000.0,24818000000.0,3420753000000.0,220088000000.0,1.39,11.49,23189000000.0,,
